,start,film,director,actor,link,image,distro,country,trailer,year
0,15.10.2020,Astronaut ,Shelagh McLeod,"Richard Dreyfuss, Lyriq Bent, Krista Bridges, Colm Feore, Richie Lawrence",https://www.kino-zeit.de/node/50228,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/astronaut_3.jpg,JETS Filmverleih & Vertrieb,Kanada,www.youtube.com/watch?v=CR2ghjgQ2yU,['2019']
1,15.10.2020,Bruno ,Karl Golden,"Diarmaid Murtagh, Woody Norman, Seun Shote, Scarlett Alice Johnson",https://www.kino-zeit.de/node/48854,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/bruno_7_daniel_andizzy_searching_copyrightfilmperlen.jpg,Filmperlen,Großbritannien,www.youtube.com/watch?v=HnPj7LtDAhA,['2019']
2,15.10.2020,Der Bär in mir ,Roman Droux,,https://www.kino-zeit.de/node/50292,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/der_bar_in_mir_2.jpg,MFA + Filmdistribution,Schweiz,www.youtube.com/watch?v=olT8YN40_3U,['2019']
3,15.10.2020,Der geheime Garten ,Marc Munden,"Colin Firth, Maeve Dermody, Julie Walters, Dixie Egerickx",https://www.kino-zeit.de/node/47584,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/dergeheimegarten_003.jpg,STUDIOCANAL GmbH Filmverleih,"Großbritannien, Frankreich",www.youtube.com/watch?v=ucZlnduCbL0,['2020']
4,18.10.2020,"Goodbye, America ",Sarik Andreasyan,"Lyanka Gryu, Nadezhda Mikhalkova, Vladimir Yaglych",https://www.kino-zeit.de/node/50874,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/goodbyeamerica_filmstill_04.jpg,Kinostar Filmverleih,Russland,www.youtube.com/watch?v=83XgomEylq0,['2020']
5,16.10.2020,I Am Greta ,Nathan Grossman,Greta Thunberg,https://www.kino-zeit.de/node/50550,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/Greta_Biennale.jpg,Filmwelt Verleihagentur,Schweden,www.youtube.com/watch?v=xDdEWkA15Rg,['2020']
6,17.10.2020,Making Montgomery Clift ,"Robert Anderson Clift, Hillary Demmon",,https://www.kino-zeit.de/node/47343,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-08/Making-Montgomery_Clift_filmbild1.jpg,missingFILMs ,USA,www.youtube.com/watch?v=eJtdIcOR2bM,['2018']
7,15.10.2020,Martin Margiela - Mythos der Mode ,Reiner Holzemer,,https://www.kino-zeit.de/node/48816,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/martin_margiela_in_his_own_words_filmstill.jpg,Filmwelt Verleihagentur,"Deutschland, Belgien",www.youtube.com/watch?v=EvrQX4POKtg,['2019']
8,15.10.2020,Moskau Einfach! ,Micha Lewinsky,"Miriam Stein, Oriana Schrage, Urs Jucker, Michael Maertens, Mike Müller",https://www.kino-zeit.de/node/48285,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-12/moskau_einfach_filmbild1.jpg,Arsenal Filmverleih GmbH ,Schweiz,www.youtube.com/watch?v=HP45nWTEjXQ,['2020']
9,15.10.2020,Mrs. Taylor's Singing Club ,Peter Cattaneo,"Kristin Scott Thomas, Sharon Horgan, Emma Lowndes, Amy James-Kelly",https://www.kino-zeit.de/node/48466,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/military-wives-filmbild1.jpg,Leonine,Großbritannien,www.youtube.com/watch?v=JJG1PnZ6VHw,['2019']
10,15.10.2020,Oeconomia ,Carmen Losmann,,https://www.kino-zeit.de/node/48739,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/Oeconomia.jpg,Neue Visionen Filmverleih GmbH,Deutschland,www.youtube.com/watch?v=hsAvWez8qBQ,['2020']
11,15.10.2020,"Rojo - Wenn alle schweigen, ist keiner unschuldig ",Benjámin Naishtat,"Darío Grandinetti, Andrea Frigerio, Alfredo Castro",https://www.kino-zeit.de/node/43353,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2018-08/rojo-filmbild1.jpg,Cine Global Filmverleih,"Argentinien, Deutschland",www.youtube.com/watch?v=4QhqxLA3aH4,['2018']
12,15.10.2020,Sag du es mir ,Michael Fetter Nathansky,"Christina Große, Marc Ben Puch, Gisa Flake, Hendrik Arnst, Patrick Heinrich, Walid Al-Atiyat",https://www.kino-zeit.de/node/48412,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/sagduesmir_filmstill_04.jpg,missingFILMs ,Deutschland,www.youtube.com/watch?v=miCtDoHCpYE,['2019']
13,15.10.2020,Von Liebe und Krieg ,Kasper Torsting,"Tom Wlaschiha, Ulrich Thomsen, Thure Lindhardt, Natalie Madueño, Sebastian Jessen",https://www.kino-zeit.de/node/50268,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/l-u-k.jpg,Tamtam Film,"Dänemark, Deutschland, Tschechische Republik",www.youtube.com/watch?v=t406bUnfYGo,['2018']
14,22.10.2020,Bohnenstange ,Kantemir Balagov,,https://www.kino-zeit.de/node/46389,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-05/beanpole-filmbild1.jpg,eksystent distribution filmverleih,Russland,www.youtube.com/watch?v=73_7Y95snIs,['2019']
15,22.10.2020,Cortex ,Moritz Bleibtreu,"Moritz Bleibtreu, Jannis Niewöhner, Wotan Wilke Möhring, Nadja Uhl, Nicholas Ofczarek",https://www.kino-zeit.de/node/50644,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/rev-1-ger_cortex_szenenbilder_dscf1872_high_res_jpeg.jpeg,Warner Bros.,Deutschland,www.youtube.com/watch?v=1rPsZmICIn4,['2020']
16,22.10.2020,Die Stimme des Regenwaldes ,Niklaus Hilber,"Sven Schelker, Charlotte Heinimann, Matthew Crowley, Daniel Ludwig",https://www.kino-zeit.de/node/47764,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-10/bruno-manser-filmbild1.jpg,Camino Filmverleih GmbH,"Schweiz, Österreich",www.youtube.com/watch?v=w15rxpVqwqs,['2019']
17,22.10.2020,Ema ,Pablo Larrain,"Gael Garcia Bernal, Mariana Di Girolamo, Santiago Cabrera, Mariana Loyola",https://www.kino-zeit.de/node/44753,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/ema_filmstill_09.jpg,"Koch Films GmbH, Studiocanal",Chile,www.youtube.com/watch?v=3xVGjzPaV6s,['2019']
18,22.10.2020,Greenland ,Ric Roman Waugh,"Gerard Butler, Morena Baccarin, Scott Glenn, David Denman",https://www.kino-zeit.de/node/50149,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/greenland-2.jpg,Tobis Film GmbH ,USA,www.youtube.com/watch?v=NwwA7OdjYjI,['2020']
19,22.10.2020,Kajillionaire ,Miranda July,"Evan Rachel Wood, Gina Rodriguez, Richard Jenkins, Debra Winger",https://www.kino-zeit.de/node/48596,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/Kajillionaire-filmstill.jpg,Universal Pictures International Germany GmbH,USA,www.youtube.com/watch?v=nEpv0VH9lwE,['2020']
20,22.10.2020,Komm und sieh ,Elem Klimow,,https://www.kino-zeit.de/node/50356,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/Komm-und-sieh-bild1.jpg,Drop-Out Cinema eG,UdSSR,www.youtube.com/watch?v=8Ab60vCIhh0,['1985']
21,22.10.2020,"Mein Liebhaber, der Esel & ich ",Caroline Vignal,"Laure Calamy, Benjamin Lavernhe, Olivia Côte, Marc Fraize",https://www.kino-zeit.de/node/50818,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/meinliebhaberdereselundich-1.jpg,Capelight Pictures / Wild Bunch,Frankreich,couldnt find youtube trailer,['2020']
22,22.10.2020,"Regeln am Band, bei hoher Geschwindigkeit ",Yulia Lokshina,,https://www.kino-zeit.de/node/48463,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/REGELNAMBAND_Still_3_%C2%AEwirFILM.png,jip Film & Verleih,Deutschland,www.youtube.com/watch?v=_wBQOrCDQhs,['2020']
23,22.10.2020,The Beach House ,Jeffrey A. Brown,"Liana Liberato, Noah Le Gros, Jake Weber, Maryann Nagel",https://www.kino-zeit.de/node/50175,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/thebeachhouse_filmstill_02.jpg,"Koch Films GmbH, 24 Bilder",USA,www.youtube.com/watch?v=qyYHWkVWQ4o,['2019']
24,24.10.2020,The Great Green Wall ,Jared P. Scott,,https://www.kino-zeit.de/node/48568,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/the-great-green-wall-filmstill5.jpg,Weltkino Filmverleih GmbH,Großbritannien,www.youtube.com/watch?v=I8Vp1DXzVGw,['2019']
25,22.10.2020,The Mortuary - Jeder Tod hat eine Geschichte ,Ryan Spindell,"Clancy Brown, Caitlin Fisher, Christine Kilmer, Ema Horvath",https://www.kino-zeit.de/node/50782,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/mortuary_01.jpg,"Capelight Pictures, Central Filmverleih",USA,www.youtube.com/watch?v=uZj7rkYILAs,['2019']
26,22.10.2020,Winterreise ,"Anders Østergaard, Erzsébet Rácz",Bruno Ganz,https://www.kino-zeit.de/node/49515,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-04/winterreise1.jpg,Real Fiction Filmverleih,"Dänemark, Deutschland",www.youtube.com/watch?v=at8EfjR68NA,['2019']
27,29.10.2020,Außer Atem ,Jean-Luc Godard,"Jean Seberg, Jean-Paul Belmondo, Henri-Jacques Huet, Claude Mansard, Daniel Boulanger",https://www.kino-zeit.de/node/17390,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/news/bild72776.jpg,"Arthaus, STUDIOCANAL GmbH Filmverleih",Frankreich,www.youtube.com/watch?v=MZ9ckwlTP8Y,['1960']
28,29.10.2020,Black Widow ,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz, William Hurt, Ray Winstone",https://www.kino-zeit.de/node/48064,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-12/black-widow-filmbild1.jpg,The Walt Disney Company Germany GmbH,USA,www.youtube.com/watch?v=QNV9PZ5LoD4,['2020']
29,29.10.2020,Blumhouse's Der Hexenclub ,Zoe Lister-Jones,"Cailee Spaeny, Michelle Monaghan, David Duchovny, Gideon Adlon, Nicholas Galitzine, Hannah Gordon",https://www.kino-zeit.de/node/50885,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/blumhouse-der-hexenclub-2.png,Sony Pictures Entertainment Deutschland GmbH ,USA,www.youtube.com/watch?v=B35OuWyls-0,['2020']
30,29.10.2020,Clara und der magische Drache ,Aleksandr Klymenko,,https://www.kino-zeit.de/node/50059,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-06/lakeside_clara_aushang_clara_liana.jpg,Lakeside Film,Ukraine,www.youtube.com/watch?v=oQPkW7DNzlQ,['2019']
31,29.10.2020,Der Boandlkramer und die ewige Liebe ,Joseph Vilsmaier,"Michael Bully Herbig, Hape Kerkeling, Hannah Herzsprung, Sebastian Bezzel, Götz Otto",https://www.kino-zeit.de/node/48036,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/derboandlkramerunddieewigeliebe_sondermotiv_02_300dpi.jpg,Leonine,Deutschland,www.youtube.com/watch?v=1FWIORy_auU,['2020']
32,29.10.2020,Glitzer & Staub ,"Anna Koch, Julia Lemke",,https://www.kino-zeit.de/node/48512,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/GlitzerUndStaub_FlareFilmUndJuliaLemke_still_02.jpg,"Port-Au-Prince Pictures, 24 Bilder",Deutschland,www.youtube.com/watch?v=YrC_Km1MQY4,['2020']
33,29.10.2020,Ruben Brandt ,Milorad Krstic,"Gabriella Hámori, Ivan Kamarás, Zalán Makranczi",https://www.kino-zeit.de/node/42959,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/rubenbrandt_filmstill_01.jpg,Drop-out Cinema,Ungarn,www.youtube.com/watch?v=sSFLnLXvDNc,['2018']
34,29.10.2020,Schlaf ,Michael Venus,"Sandra Hüller, Gro Swantje Kohlhof, Marion Kracht",https://www.kino-zeit.de/node/48752,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/Schlaf-filmstill.jpg,Salzgeber,Deutschland,www.youtube.com/watch?v=maEJhZNXlH0,['2020']
35,29.10.2020,Schwesterlein ,"Stéphanie Chuat, Véronique Reymond","Nina Hoss, Lars Eidinger, Marthe Keller, Jens Albinus, Thomas Ostermeier",https://www.kino-zeit.de/node/48704,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/schwesterlein_filmstill2.jpg,Weltkino Filmverleih,Schweiz,www.youtube.com/watch?v=x3XBjy0NgOo,['2020']
36,29.10.2020,Srbenka ,Nebojša Slijepčević,,https://www.kino-zeit.de/node/43411,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-06/srbenka_5.jpg,Rise and Shine Cinema,Kroatien,www.youtube.com/watch?v=UkRO4bB_y-A,['2018']
37,29.10.2020,The Booksellers - Aus Liebe zum Buch ,D.W. Young,,https://www.kino-zeit.de/node/47837,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-10/the-booksellers-filmbild1.jpg,Mindjazz Pictures,USA,www.youtube.com/watch?v=IhTY_K3N0BU,['2019']
38,29.10.2020,Und morgen die ganze Welt ,Julia von Heinz,"Mala Emde, Tonio Schneider, Luisa-Céline Gaffron, Andreas Lust",https://www.kino-zeit.de/node/50396,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/umdgw_mala_emde_4_c_seven_elephants_oliver_wolff.jpg,Alamode Filmverleih,Deutschland,www.youtube.com/watch?v=nr6ieHK_sxw,['2020']
39,29.10.2020,Wildherz - Auf der Reise zu mir selbst ,Caro Lobig,,https://www.kino-zeit.de/node/50377,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/wildherz-1.jpg,"catamaranfilms, barnsteiner-film ",Deutschland,www.youtube.com/watch?v=pw0wxwp-E7Y,['2020']
40,29.10.2020,Yakari - Der Kinofilm ,"Toby Genkel, Xavier Giacometti",,https://www.kino-zeit.de/node/48753,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/yakari-2.jpg,Leonine,"Belgien, Frankreich, Deutschland",www.youtube.com/watch?v=bRDZZBmoRow,['2020']
41,29.10.2020,Zombie - Dawn of the Dead ,George A. Romero,"David Emge, Ken Foree, Scott H. Reiniger, Gaylen Ross, David Crawford",https://www.kino-zeit.de/node/31623,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/zomnie_filmstill_02.jpg,Koch Films GmbH,USA,www.youtube.com/watch?v=dFyFwDlbCqU,['1978']
42,05.11.2020,Das Haus der guten Geister ,"Marcus Richardt, Lillian Rosa",,https://www.kino-zeit.de/node/46295,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-03/dashausdergutengeister_filmstill_05.jpg,Mindjazz Pictures,Deutschland,www.youtube.com/watch?v=5_-kdjjozIQ,['2019']
43,05.11.2020,Die letzte Stadt ,Heinz Emigholz,"John Erdman, Jonathan Perel, Young Sun Han, Dorothy Ko, Susanne Sachsse, Laurean Wagner",https://www.kino-zeit.de/node/48766,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/die-lezte-stadt.jpg,Filmgalerie 451,Deutschland,www.youtube.com/watch?v=_dEBGzLLd4s,['2020']
44,09.11.2020,Displaced ,Sharon Ryba-Kahn,,https://www.kino-zeit.de/node/49661,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-05/displaced-2-dokfest.jpg,Tondowski Film,Deutschland,www.youtube.com/watch?v=5l69sr-BOZc,['2020']
45,05.11.2020,Doch das Böse gibt es nicht ,Mohammad Rasoulof,"Ehsan Mirhosseini, Shaghayegh Shourian, Kaveh Ahangar, Alireza Zareparast",https://www.kino-zeit.de/node/48709,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/there-is-no-evil-filmstill.jpg,Grandfilm,"Deutschland, Tschechische Republik, Iran",www.youtube.com/watch?v=Pyrwa-qTP1E,['2020']
46,11.11.2020,Kehraus ,Hanns Christian Müller,"Gerhard Polt, Nikolaus Paryla, Jochen Busse, Gisela Schneeberger, Dieter Hildebrandt",https://www.kino-zeit.de/node/32576,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2018-01/Platzhalter.jpg,CROCO Filmverleih & Vertrieb GmbH,Deutschland,www.youtube.com/watch?v=dJolngEBM7s,['1983']
47,05.11.2020,Krabat ,Marco Kreuzpaintner,"David Kross, Daniel Brühl, Christian Redl, Robert Stadlober, Paula Kalenberg",https://www.kino-zeit.de/node/16389,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/news/bild14556.jpg,CROCO Filmverleih & Vertrieb GmbH,Deutschland,www.youtube.com/watch?v=UK5Tq839xL8,['2008']
48,05.11.2020,Lass ihn gehen ,Thomas Bezucha,"Kevin Costner, Diane Lane, Jeffrey Donovan, Lesley Manville",https://www.kino-zeit.de/node/48305,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/Lass-ihn-gehen-2.jpg,Universal Pictures International Germany GmbH,USA,www.youtube.com/watch?v=B9JW_rrPsUc,['2020']
49,05.11.2020,Matthias & Maxime ,Xavier Dolan,"Xavier Dolan, Harris Dickinson, Anne Dorval, Catherine Brunet, Adib Alkhalidey, Pier-Luc Funk",https://www.kino-zeit.de/node/45593,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-09/Matthias-and-Maxime-filmbild2.jpg,Pro-Fun Filmverleih,Kanada,www.youtube.com/watch?v=EVE6XP2HcH8,['2019']
50,05.11.2020,Rémi sans famille ,Antoine Blossier,"Daniel Auteuil, Maleaume Paquin, Virginie Ledoyen, Ludivine Sagnier",https://www.kino-zeit.de/node/42712,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2018-06/remi-filmbild1.jpg,,Frankreich,www.youtube.com/watch?v=NcKWCVb7f6Y,['2018']
51,05.11.2020,Résistance - Widerstand ,Jonathan Jakubowicz,"Jesse Eisenberg, Clémence Poésy, Ed Harris, Edgar Ramirez, Alicia von Rittberg, Matthias Schweighöfer",https://www.kino-zeit.de/node/44658,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2018-12/resistance-filmbild.jpg,Warner Bros. Entertainment GmbH ,"Frankreich, USA, Deutschland, Großbritannien",www.youtube.com/watch?v=EmEkvOXZphM,['2020']
52,05.11.2020,The Secrets We Keep ,Yuval Adler,"Noomi Rapace, Joel Kinnaman, Chris Messina, Amy Seimetz",https://www.kino-zeit.de/node/50559,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/the-secrets-we-keep-2.jpg,Leonine,,www.youtube.com/watch?v=qGeePDgJ8kg,['2020']
53,05.11.2020,Tonsüchtig ,"Iva Švarcová, Malte Ludin",,https://www.kino-zeit.de/node/50483,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/trailer/poster/poster_164085.jpg,Rise and Shine Cinema,Österreich,www.youtube.com/watch?v=hnq7RbOtLXw,['2020']
54,05.11.2020,Total Recall – Die totale Erinnerung ,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox, Michael Ironside",https://www.kino-zeit.de/node/32341,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/news/bild28517.jpg,STUDIOCANAL GmbH Filmverleih,USA,www.youtube.com/watch?v=684nkWhd658,['1990']
55,05.11.2020,"Yes, God, Yes - Böse Mädchen beichten nicht ",Karen Maine,"Natalia Dyer, Timothy Simons, Wolfgang Novogratz, Francesca Reale, Susan Blackwell, Donna Lynne Champlin",https://www.kino-zeit.de/node/49684,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/yesgodyesbsemdchenbeichtennicht_filmstill_10.jpg,Capelight Pictures,USA,www.youtube.com/watch?v=8_ef-8jgmlQ,['2019']
56,12.11.2020,Aalto – Architektur der Emotionen ,Virpi Suutari,,https://www.kino-zeit.de/node/50933,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/aalto-3.jpg,Salzgeber & Co. Medien GmbH ,Finnland,www.youtube.com/watch?v=Ttk7l09E-WU,['2020']
